Name,Current Price,Change,Disclosure Date,Designation,Release,Code
ISUSPECIALTYCHEMICAL,"436,500","16,500",2023/06/15,2023/06/16,-,457190
KIM ANKOR OIL,678,7,2023/04/24,2023/04/25,2023/05/12,152550
RFsemi,"20,950","1,450",2023/04/19,2023/04/21,2023/05/09,096610
EV.A.M.,"8,930",20,2023/04/13,2023/04/14,2023/05/03,131400
RFsemi,"20,950","1,450",2023/04/11,2023/04/12,2023/04/21,096610
Zaigle,"18,220",80,2023/03/29,2023/03/30,2023/04/20,234920
KIM ANKOR OIL,678,7,2023/01/02,2023/01/04,2023/01/19,152550
KIM ANKOR OIL,678,7,2022/12/26,2022/12/27,2023/01/04,152550
In the F,"1,344",43,2022/11/10,2022/11/11,2022/11/29,014990
WI,"23,400","1,500",2022/10/06,2022/10/07,2022/10/26,073570
VIETNAM DEVELOP1,-,-,2022/10/06,2022/10/07,2022/10/26,096300
KSEC,"33,200","1,700",2022/09/30,2022/10/04,2022/10/20,101670
IBKS No.12 SPAC,"2,020",40,2022/09/27,2022/09/29,2022/10/17,335870
IBKS No.12 SPAC,"2,020",40,2022/09/16,2022/09/19,2022/09/29,335870
STCUBE,"15,980",360,2022/08/17,2022/08/19,2022/09/02,052020
STCUBE,"15,980",360,2022/08/05,2022/08/08,2022/08/19,052020
Modata,"3,125",70,2022/07/21,2022/07/22,2022/08/08,288980
09WOMEN,"9,070",40,2022/06/30,2022/07/01,2022/07/18,366030
